scenario,eta,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
BK,0.600,30,6000,0.024333,0.003144,0.023208,0.025458
BK,0.800,30,6000,0.024333,0.003144,0.023208,0.025458
BK,0.900,30,6000,0.024333,0.003144,0.023208,0.025458
DQT,0.600,30,6000,0.028000,0.002491,0.027108,0.028892
DQT,0.800,30,6000,0.028000,0.002491,0.027108,0.028892
DQT,0.900,30,6000,0.028000,0.002491,0.027108,0.028892
EQT,0.600,30,6000,0.028000,0.002491,0.027108,0.028892
EQT,0.800,30,6000,0.028000,0.002491,0.027108,0.028892
EQT,0.900,30,6000,0.028000,0.002491,0.027108,0.028892
