eta,distance_km,strategy,p_eg,base_prob,p_eg_floor,loss_db_per_km
0.01,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.01,50.0,DQT,0.0009999999999999998,0.09999999999999998,1e-06,0.2
0.01,50.0,EQT,9.999999999999997e-06,0.09999999999999998,1e-06,0.2
0.03,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.03,50.0,DQT,0.002999999999999999,0.09999999999999998,1e-06,0.2
0.03,50.0,EQT,8.999999999999998e-05,0.09999999999999998,1e-06,0.2
0.05,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.05,50.0,DQT,0.004999999999999999,0.09999999999999998,1e-06,0.2
0.05,50.0,EQT,0.00024999999999999995,0.09999999999999998,1e-06,0.2
0.1,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.1,50.0,DQT,0.009999999999999998,0.09999999999999998,1e-06,0.2
0.1,50.0,EQT,0.0009999999999999998,0.09999999999999998,1e-06,0.2
0.3,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.3,50.0,DQT,0.029999999999999992,0.09999999999999998,1e-06,0.2
0.3,50.0,EQT,0.008999999999999998,0.09999999999999998,1e-06,0.2
0.8,50.0,BK,0.09999999999999998,0.09999999999999998,1e-06,0.2
0.8,50.0,DQT,0.07999999999999999,0.09999999999999998,1e-06,0.2
0.8,50.0,EQT,0.06399999999999999,0.09999999999999998,1e-06,0.2
