study,scenario,eta,upgrade_k,seed,path_edges_total,path_edges_upgraded,path_upgraded_fraction,eg_success_total,eg_success_upgraded,upgrade_activation_fraction,transducer_allocation_failures,transducer_utilization_mean
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,22,8,0,0.0,4196,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,23,8,0,0.0,4163,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,24,8,0,0.0,4073,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,25,8,0,0.0,4148,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,26,8,0,0.0,4089,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,27,8,0,0.0,4112,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,28,8,0,0.0,4085,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,2,29,8,0,0.0,4159,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,0,8,0,0.0,4076,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,1,8,0,0.0,4121,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,2,8,0,0.0,4168,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,3,8,0,0.0,4214,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,4,8,0,0.0,4190,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,5,8,0,0.0,4236,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,6,8,0,0.0,4212,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,7,8,0,0.0,4163,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,8,8,0,0.0,4073,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,9,8,0,0.0,4098,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,10,8,0,0.0,4081,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,11,8,0,0.0,4235,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,12,8,0,0.0,4019,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,13,8,0,0.0,4031,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,14,8,0,0.0,4082,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,15,8,0,0.0,4051,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,16,8,0,0.0,4078,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,17,8,0,0.0,4283,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,18,8,0,0.0,4126,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,19,8,0,0.0,4155,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,20,8,0,0.0,4097,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,21,8,0,0.0,4082,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,22,8,0,0.0,4196,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,23,8,0,0.0,4163,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,24,8,0,0.0,4073,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,25,8,0,0.0,4148,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,26,8,0,0.0,4089,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,27,8,0,0.0,4112,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,28,8,0,0.0,4085,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,4,29,8,0,0.0,4159,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,0,8,0,0.0,4076,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,1,8,0,0.0,4121,0,0.0,0,
