scenario,eta,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
BK,0.03,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.05,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.087,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.1,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.15,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.2,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.3,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.4,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.5,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.6,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.8,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
BK,0.95,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
EQT,0.03,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.05,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.087,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.1,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.15,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.2,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.3,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.4,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.5,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.6,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.8,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
EQT,0.95,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
