request_id,src,dst,t_start,deadline,success,t_finish
136,12,13,0.068,5.068,0,
137,12,13,0.0685,5.0685,0,
138,12,13,0.06899999999999999,5.069,0,
139,12,13,0.06949999999999999,5.0695,0,
140,12,13,0.06999999999999999,5.07,0,
141,12,13,0.0705,5.0705,0,
142,12,13,0.071,5.071,0,
143,12,13,0.0715,5.0715,0,
144,12,13,0.072,5.072,0,
145,12,13,0.0725,5.0725,0,
146,12,13,0.073,5.073,0,
147,12,13,0.0735,5.0735,0,
148,12,13,0.074,5.074,0,
149,12,13,0.0745,5.0745,0,
150,12,13,0.07500000000000001,5.075,0,
151,12,13,0.07550000000000001,5.0755,0,
152,12,13,0.07600000000000001,5.076,0,
153,12,13,0.07650000000000001,5.0765,0,
154,12,13,0.07700000000000001,5.077,0,
155,12,13,0.07750000000000001,5.0775,0,
156,12,13,0.07800000000000001,5.078,0,
157,12,13,0.07850000000000001,5.0785,0,
158,12,13,0.07900000000000001,5.079,0,
159,12,13,0.07950000000000002,5.0795,0,
160,12,13,0.08000000000000002,5.08,0,
161,12,13,0.08050000000000002,5.0805,0,
162,12,13,0.08100000000000002,5.081,0,
163,12,13,0.0815,5.0815,0,
164,12,13,0.082,5.082,0,
165,12,13,0.0825,5.0825,0,
166,12,13,0.083,5.083,0,
167,12,13,0.0835,5.0835,0,
168,12,13,0.084,5.084,0,
169,12,13,0.0845,5.0845,0,
170,12,13,0.085,5.085,0,
171,12,13,0.0855,5.0855,0,
172,12,13,0.08600000000000001,5.086,0,
173,12,13,0.08650000000000001,5.0865,0,
174,12,13,0.08700000000000001,5.087,0,
175,12,13,0.08750000000000001,5.0875,0,
176,12,13,0.08800000000000001,5.088,0,
177,12,13,0.08850000000000001,5.0885,0,
178,12,13,0.08900000000000001,5.089,0,
179,12,13,0.08950000000000001,5.0895,0,
180,12,13,0.09000000000000001,5.09,0,
181,12,13,0.09050000000000001,5.0905,0,
182,12,13,0.09100000000000001,5.091,0,
183,12,13,0.09150000000000001,5.0915,0,
184,12,13,0.09200000000000001,5.092,0,
185,12,13,0.09250000000000001,5.0925,0,
186,12,13,0.09300000000000001,5.093,0,
187,12,13,0.09350000000000001,5.0935,0,
188,12,13,0.094,5.094,0,
189,12,13,0.0945,5.0945,0,
190,12,13,0.095,5.095,0,
191,12,13,0.0955,5.0955,0,
192,12,13,0.096,5.096,0,
193,12,13,0.0965,5.0965,0,
194,12,13,0.097,5.097,0,
195,12,13,0.0975,5.0975,0,
196,12,13,0.098,5.098,0,
197,12,13,0.0985,5.0985,0,
198,12,13,0.099,5.099,0,
199,12,13,0.0995,5.0995,0,
