study,scenario,eta,k,seed,success_rate
study_transducer_availability,DQT,0.6,0,0,0.03
study_transducer_availability,DQT,0.6,0,1,0.025
study_transducer_availability,DQT,0.6,0,2,0.03
study_transducer_availability,DQT,0.6,0,3,0.025
study_transducer_availability,DQT,0.6,0,4,0.025
study_transducer_availability,DQT,0.6,0,5,0.03
study_transducer_availability,DQT,0.6,0,6,0.025
study_transducer_availability,DQT,0.6,0,7,0.03
study_transducer_availability,DQT,0.6,0,8,0.03
study_transducer_availability,DQT,0.6,0,9,0.03
study_transducer_availability,DQT,0.6,0,10,0.03
study_transducer_availability,DQT,0.6,0,11,0.025
study_transducer_availability,DQT,0.6,0,12,0.025
study_transducer_availability,DQT,0.6,0,13,0.03
study_transducer_availability,DQT,0.6,0,14,0.03
study_transducer_availability,DQT,0.6,0,15,0.025
study_transducer_availability,DQT,0.6,0,16,0.025
study_transducer_availability,DQT,0.6,0,17,0.03
study_transducer_availability,DQT,0.6,0,18,0.03
study_transducer_availability,DQT,0.6,0,19,0.03
study_transducer_availability,DQT,0.6,0,20,0.03
study_transducer_availability,DQT,0.6,0,21,0.03
study_transducer_availability,DQT,0.6,0,22,0.03
study_transducer_availability,DQT,0.6,0,23,0.025
study_transducer_availability,DQT,0.6,0,24,0.03
study_transducer_availability,DQT,0.6,0,25,0.03
study_transducer_availability,DQT,0.6,0,26,0.025
study_transducer_availability,DQT,0.6,0,27,0.025
study_transducer_availability,DQT,0.6,0,28,0.025
study_transducer_availability,DQT,0.6,0,29,0.03
study_transducer_availability,DQT,0.8,0,0,0.03
study_transducer_availability,DQT,0.8,0,1,0.025
study_transducer_availability,DQT,0.8,0,2,0.03
study_transducer_availability,DQT,0.8,0,3,0.025
study_transducer_availability,DQT,0.8,0,4,0.025
study_transducer_availability,DQT,0.8,0,5,0.03
study_transducer_availability,DQT,0.8,0,6,0.025
study_transducer_availability,DQT,0.8,0,7,0.03
study_transducer_availability,DQT,0.8,0,8,0.03
study_transducer_availability,DQT,0.8,0,9,0.03
study_transducer_availability,DQT,0.8,0,10,0.03
study_transducer_availability,DQT,0.8,0,11,0.025
study_transducer_availability,DQT,0.8,0,12,0.025
study_transducer_availability,DQT,0.8,0,13,0.03
study_transducer_availability,DQT,0.8,0,14,0.03
study_transducer_availability,DQT,0.8,0,15,0.025
study_transducer_availability,DQT,0.8,0,16,0.025
study_transducer_availability,DQT,0.8,0,17,0.03
study_transducer_availability,DQT,0.8,0,18,0.03
study_transducer_availability,DQT,0.8,0,19,0.03
study_transducer_availability,DQT,0.8,0,20,0.03
study_transducer_availability,DQT,0.8,0,21,0.03
study_transducer_availability,DQT,0.8,0,22,0.03
study_transducer_availability,DQT,0.8,0,23,0.025
study_transducer_availability,DQT,0.8,0,24,0.03
study_transducer_availability,DQT,0.8,0,25,0.03
study_transducer_availability,DQT,0.8,0,26,0.025
study_transducer_availability,DQT,0.8,0,27,0.025
study_transducer_availability,DQT,0.8,0,28,0.025
study_transducer_availability,DQT,0.8,0,29,0.03
study_transducer_availability,DQT,0.9,0,0,0.03
study_transducer_availability,DQT,0.9,0,1,0.025
study_transducer_availability,DQT,0.9,0,2,0.03
study_transducer_availability,DQT,0.9,0,3,0.025
study_transducer_availability,DQT,0.9,0,4,0.025
study_transducer_availability,DQT,0.9,0,5,0.03
study_transducer_availability,DQT,0.9,0,6,0.025
study_transducer_availability,DQT,0.9,0,7,0.03
study_transducer_availability,DQT,0.9,0,8,0.03
study_transducer_availability,DQT,0.9,0,9,0.03
study_transducer_availability,DQT,0.9,0,10,0.03
study_transducer_availability,DQT,0.9,0,11,0.025
study_transducer_availability,DQT,0.9,0,12,0.025
study_transducer_availability,DQT,0.9,0,13,0.03
study_transducer_availability,DQT,0.9,0,14,0.03
study_transducer_availability,DQT,0.9,0,15,0.025
study_transducer_availability,DQT,0.9,0,16,0.025
study_transducer_availability,DQT,0.9,0,17,0.03
study_transducer_availability,DQT,0.9,0,18,0.03
study_transducer_availability,DQT,0.9,0,19,0.03
study_transducer_availability,DQT,0.9,0,20,0.03
study_transducer_availability,DQT,0.9,0,21,0.03
study_transducer_availability,DQT,0.9,0,22,0.03
study_transducer_availability,DQT,0.9,0,23,0.025
study_transducer_availability,DQT,0.9,0,24,0.03
study_transducer_availability,DQT,0.9,0,25,0.03
study_transducer_availability,DQT,0.9,0,26,0.025
study_transducer_availability,DQT,0.9,0,27,0.025
study_transducer_availability,DQT,0.9,0,28,0.025
study_transducer_availability,DQT,0.9,0,29,0.03
study_transducer_availability,EQT,0.6,0,0,0.03
study_transducer_availability,EQT,0.6,0,1,0.025
study_transducer_availability,EQT,0.6,0,2,0.03
study_transducer_availability,EQT,0.6,0,3,0.025
study_transducer_availability,EQT,0.6,0,4,0.025
study_transducer_availability,EQT,0.6,0,5,0.03
study_transducer_availability,EQT,0.6,0,6,0.025
study_transducer_availability,EQT,0.6,0,7,0.03
study_transducer_availability,EQT,0.6,0,8,0.03
study_transducer_availability,EQT,0.6,0,9,0.03
study_transducer_availability,EQT,0.6,0,10,0.03
study_transducer_availability,EQT,0.6,0,11,0.025
study_transducer_availability,EQT,0.6,0,12,0.025
study_transducer_availability,EQT,0.6,0,13,0.03
study_transducer_availability,EQT,0.6,0,14,0.03
study_transducer_availability,EQT,0.6,0,15,0.025
study_transducer_availability,EQT,0.6,0,16,0.025
study_transducer_availability,EQT,0.6,0,17,0.03
study_transducer_availability,EQT,0.6,0,18,0.03
study_transducer_availability,EQT,0.6,0,19,0.03
study_transducer_availability,EQT,0.6,0,20,0.03
study_transducer_availability,EQT,0.6,0,21,0.03
study_transducer_availability,EQT,0.6,0,22,0.03
study_transducer_availability,EQT,0.6,0,23,0.025
study_transducer_availability,EQT,0.6,0,24,0.03
study_transducer_availability,EQT,0.6,0,25,0.03
study_transducer_availability,EQT,0.6,0,26,0.025
study_transducer_availability,EQT,0.6,0,27,0.025
study_transducer_availability,EQT,0.6,0,28,0.025
study_transducer_availability,EQT,0.6,0,29,0.03
study_transducer_availability,EQT,0.8,0,0,0.03
study_transducer_availability,EQT,0.8,0,1,0.025
study_transducer_availability,EQT,0.8,0,2,0.03
study_transducer_availability,EQT,0.8,0,3,0.025
study_transducer_availability,EQT,0.8,0,4,0.025
study_transducer_availability,EQT,0.8,0,5,0.03
study_transducer_availability,EQT,0.8,0,6,0.025
study_transducer_availability,EQT,0.8,0,7,0.03
study_transducer_availability,EQT,0.8,0,8,0.03
study_transducer_availability,EQT,0.8,0,9,0.03
study_transducer_availability,EQT,0.8,0,10,0.03
study_transducer_availability,EQT,0.8,0,11,0.025
study_transducer_availability,EQT,0.8,0,12,0.025
study_transducer_availability,EQT,0.8,0,13,0.03
study_transducer_availability,EQT,0.8,0,14,0.03
study_transducer_availability,EQT,0.8,0,15,0.025
study_transducer_availability,EQT,0.8,0,16,0.025
study_transducer_availability,EQT,0.8,0,17,0.03
study_transducer_availability,EQT,0.8,0,18,0.03
study_transducer_availability,EQT,0.8,0,19,0.03
study_transducer_availability,EQT,0.8,0,20,0.03
study_transducer_availability,EQT,0.8,0,21,0.03
study_transducer_availability,EQT,0.8,0,22,0.03
study_transducer_availability,EQT,0.8,0,23,0.025
study_transducer_availability,EQT,0.8,0,24,0.03
study_transducer_availability,EQT,0.8,0,25,0.03
study_transducer_availability,EQT,0.8,0,26,0.025
study_transducer_availability,EQT,0.8,0,27,0.025
study_transducer_availability,EQT,0.8,0,28,0.025
study_transducer_availability,EQT,0.8,0,29,0.03
study_transducer_availability,EQT,0.9,0,0,0.03
study_transducer_availability,EQT,0.9,0,1,0.025
study_transducer_availability,EQT,0.9,0,2,0.03
study_transducer_availability,EQT,0.9,0,3,0.025
study_transducer_availability,EQT,0.9,0,4,0.025
study_transducer_availability,EQT,0.9,0,5,0.03
study_transducer_availability,EQT,0.9,0,6,0.025
study_transducer_availability,EQT,0.9,0,7,0.03
study_transducer_availability,EQT,0.9,0,8,0.03
study_transducer_availability,EQT,0.9,0,9,0.03
study_transducer_availability,EQT,0.9,0,10,0.03
study_transducer_availability,EQT,0.9,0,11,0.025
study_transducer_availability,EQT,0.9,0,12,0.025
study_transducer_availability,EQT,0.9,0,13,0.03
study_transducer_availability,EQT,0.9,0,14,0.03
study_transducer_availability,EQT,0.9,0,15,0.025
study_transducer_availability,EQT,0.9,0,16,0.025
study_transducer_availability,EQT,0.9,0,17,0.03
study_transducer_availability,EQT,0.9,0,18,0.03
study_transducer_availability,EQT,0.9,0,19,0.03
study_transducer_availability,EQT,0.9,0,20,0.03
study_transducer_availability,EQT,0.9,0,21,0.03
study_transducer_availability,EQT,0.9,0,22,0.03
study_transducer_availability,EQT,0.9,0,23,0.025
study_transducer_availability,EQT,0.9,0,24,0.03
study_transducer_availability,EQT,0.9,0,25,0.03
study_transducer_availability,EQT,0.9,0,26,0.025
study_transducer_availability,EQT,0.9,0,27,0.025
study_transducer_availability,EQT,0.9,0,28,0.025
study_transducer_availability,EQT,0.9,0,29,0.03
study_upgrade_k,BK,0.6,0,0,0.0
study_upgrade_k,BK,0.6,0,1,0.0
study_upgrade_k,BK,0.6,0,2,0.0
study_upgrade_k,BK,0.6,0,3,0.0
study_upgrade_k,BK,0.6,0,4,0.0
study_upgrade_k,BK,0.6,0,5,0.0
study_upgrade_k,BK,0.6,0,6,0.0
study_upgrade_k,BK,0.6,0,7,0.0
study_upgrade_k,BK,0.6,0,8,0.0
study_upgrade_k,BK,0.6,0,9,0.0
study_upgrade_k,BK,0.6,0,10,0.0
study_upgrade_k,BK,0.6,0,11,0.0
study_upgrade_k,BK,0.6,0,12,0.0
study_upgrade_k,BK,0.6,0,13,0.0
study_upgrade_k,BK,0.6,0,14,0.0
study_upgrade_k,BK,0.6,0,15,0.0
study_upgrade_k,BK,0.6,0,16,0.0
study_upgrade_k,BK,0.6,0,17,0.0
study_upgrade_k,BK,0.6,0,18,0.0
study_upgrade_k,BK,0.6,0,19,0.0
study_upgrade_k,BK,0.6,0,20,0.0
study_upgrade_k,BK,0.6,0,21,0.0
study_upgrade_k,BK,0.6,0,22,0.0
study_upgrade_k,BK,0.6,0,23,0.0
study_upgrade_k,BK,0.6,0,24,0.0
study_upgrade_k,BK,0.6,0,25,0.0
study_upgrade_k,BK,0.6,0,26,0.0
study_upgrade_k,BK,0.6,0,27,0.0
study_upgrade_k,BK,0.6,0,28,0.0
study_upgrade_k,BK,0.6,0,29,0.0
study_upgrade_k,BK,0.8,0,0,0.0
study_upgrade_k,BK,0.8,0,1,0.0
study_upgrade_k,BK,0.8,0,2,0.0
study_upgrade_k,BK,0.8,0,3,0.0
study_upgrade_k,BK,0.8,0,4,0.0
study_upgrade_k,BK,0.8,0,5,0.0
study_upgrade_k,BK,0.8,0,6,0.0
