study,scenario,eta,k,seed,success_rate
study_upgrade_k,BK,0.8,0,7,0.0
study_upgrade_k,BK,0.8,0,8,0.0
study_upgrade_k,BK,0.8,0,9,0.0
study_upgrade_k,BK,0.8,0,10,0.0
study_upgrade_k,BK,0.8,0,11,0.0
study_upgrade_k,BK,0.8,0,12,0.0
study_upgrade_k,BK,0.8,0,13,0.0
study_upgrade_k,BK,0.8,0,14,0.0
study_upgrade_k,BK,0.8,0,15,0.0
study_upgrade_k,BK,0.8,0,16,0.0
study_upgrade_k,BK,0.8,0,17,0.0
study_upgrade_k,BK,0.8,0,18,0.0
study_upgrade_k,BK,0.8,0,19,0.0
study_upgrade_k,BK,0.8,0,20,0.0
study_upgrade_k,BK,0.8,0,21,0.0
study_upgrade_k,BK,0.8,0,22,0.0
study_upgrade_k,BK,0.8,0,23,0.0
study_upgrade_k,BK,0.8,0,24,0.0
study_upgrade_k,BK,0.8,0,25,0.0
study_upgrade_k,BK,0.8,0,26,0.0
study_upgrade_k,BK,0.8,0,27,0.0
study_upgrade_k,BK,0.8,0,28,0.0
study_upgrade_k,BK,0.8,0,29,0.0
study_upgrade_k,BK,0.9,0,0,0.0
study_upgrade_k,BK,0.9,0,1,0.0
study_upgrade_k,BK,0.9,0,2,0.0
study_upgrade_k,BK,0.9,0,3,0.0
study_upgrade_k,BK,0.9,0,4,0.0
study_upgrade_k,BK,0.9,0,5,0.0
study_upgrade_k,BK,0.9,0,6,0.0
study_upgrade_k,BK,0.9,0,7,0.0
study_upgrade_k,BK,0.9,0,8,0.0
study_upgrade_k,BK,0.9,0,9,0.0
study_upgrade_k,BK,0.9,0,10,0.0
study_upgrade_k,BK,0.9,0,11,0.0
study_upgrade_k,BK,0.9,0,12,0.0
study_upgrade_k,BK,0.9,0,13,0.0
study_upgrade_k,BK,0.9,0,14,0.0
study_upgrade_k,BK,0.9,0,15,0.0
study_upgrade_k,BK,0.9,0,16,0.0
study_upgrade_k,BK,0.9,0,17,0.0
study_upgrade_k,BK,0.9,0,18,0.0
study_upgrade_k,BK,0.9,0,19,0.0
study_upgrade_k,BK,0.9,0,20,0.0
study_upgrade_k,BK,0.9,0,21,0.0
study_upgrade_k,BK,0.9,0,22,0.0
study_upgrade_k,BK,0.9,0,23,0.0
study_upgrade_k,BK,0.9,0,24,0.0
study_upgrade_k,BK,0.9,0,25,0.0
study_upgrade_k,BK,0.9,0,26,0.0
study_upgrade_k,BK,0.9,0,27,0.0
study_upgrade_k,BK,0.9,0,28,0.0
study_upgrade_k,BK,0.9,0,29,0.0
study_upgrade_k,DQT,0.6,0,0,0.0
study_upgrade_k,DQT,0.6,0,1,0.0
study_upgrade_k,DQT,0.6,0,2,0.0
study_upgrade_k,DQT,0.6,0,3,0.0
study_upgrade_k,DQT,0.6,0,4,0.0
study_upgrade_k,DQT,0.6,0,5,0.0
study_upgrade_k,DQT,0.6,0,6,0.0
study_upgrade_k,DQT,0.6,0,7,0.0
study_upgrade_k,DQT,0.6,0,8,0.0
study_upgrade_k,DQT,0.6,0,9,0.0
study_upgrade_k,DQT,0.6,0,10,0.0
study_upgrade_k,DQT,0.6,0,11,0.0
study_upgrade_k,DQT,0.6,0,12,0.0
study_upgrade_k,DQT,0.6,0,13,0.0
study_upgrade_k,DQT,0.6,0,14,0.0
study_upgrade_k,DQT,0.6,0,15,0.0
study_upgrade_k,DQT,0.6,0,16,0.0
study_upgrade_k,DQT,0.6,0,17,0.0
study_upgrade_k,DQT,0.6,0,18,0.0
study_upgrade_k,DQT,0.6,0,19,0.0
study_upgrade_k,DQT,0.6,0,20,0.0
study_upgrade_k,DQT,0.6,0,21,0.0
study_upgrade_k,DQT,0.6,0,22,0.0
study_upgrade_k,DQT,0.6,0,23,0.0
study_upgrade_k,DQT,0.6,0,24,0.0
study_upgrade_k,DQT,0.6,0,25,0.0
study_upgrade_k,DQT,0.6,0,26,0.0
study_upgrade_k,DQT,0.6,0,27,0.0
study_upgrade_k,DQT,0.6,0,28,0.0
study_upgrade_k,DQT,0.6,0,29,0.0
study_upgrade_k,DQT,0.6,1,0,0.0
study_upgrade_k,DQT,0.6,1,1,0.0
study_upgrade_k,DQT,0.6,1,2,0.0
study_upgrade_k,DQT,0.6,1,3,0.0
study_upgrade_k,DQT,0.6,1,4,0.0
study_upgrade_k,DQT,0.6,1,5,0.0
study_upgrade_k,DQT,0.6,1,6,0.0
study_upgrade_k,DQT,0.6,1,7,0.0
study_upgrade_k,DQT,0.6,1,8,0.0
study_upgrade_k,DQT,0.6,1,9,0.0
study_upgrade_k,DQT,0.6,1,10,0.0
study_upgrade_k,DQT,0.6,1,11,0.0
study_upgrade_k,DQT,0.6,1,12,0.0
study_upgrade_k,DQT,0.6,1,13,0.0
study_upgrade_k,DQT,0.6,1,14,0.0
study_upgrade_k,DQT,0.6,1,15,0.0
study_upgrade_k,DQT,0.6,1,16,0.0
study_upgrade_k,DQT,0.6,1,17,0.0
study_upgrade_k,DQT,0.6,1,18,0.0
study_upgrade_k,DQT,0.6,1,19,0.0
study_upgrade_k,DQT,0.6,1,20,0.0
study_upgrade_k,DQT,0.6,1,21,0.0
study_upgrade_k,DQT,0.6,1,22,0.0
study_upgrade_k,DQT,0.6,1,23,0.0
study_upgrade_k,DQT,0.6,1,24,0.0
study_upgrade_k,DQT,0.6,1,25,0.0
study_upgrade_k,DQT,0.6,1,26,0.0
study_upgrade_k,DQT,0.6,1,27,0.0
study_upgrade_k,DQT,0.6,1,28,0.0
study_upgrade_k,DQT,0.6,1,29,0.0
study_upgrade_k,DQT,0.6,2,0,0.0
study_upgrade_k,DQT,0.6,2,1,0.0
study_upgrade_k,DQT,0.6,2,2,0.0
study_upgrade_k,DQT,0.6,2,3,0.0
study_upgrade_k,DQT,0.6,2,4,0.0
study_upgrade_k,DQT,0.6,2,5,0.0
study_upgrade_k,DQT,0.6,2,6,0.0
study_upgrade_k,DQT,0.6,2,7,0.0
study_upgrade_k,DQT,0.6,2,8,0.0
study_upgrade_k,DQT,0.6,2,9,0.0
study_upgrade_k,DQT,0.6,2,10,0.0
study_upgrade_k,DQT,0.6,2,11,0.0
study_upgrade_k,DQT,0.6,2,12,0.0
study_upgrade_k,DQT,0.6,2,13,0.0
study_upgrade_k,DQT,0.6,2,14,0.0
study_upgrade_k,DQT,0.6,2,15,0.0
study_upgrade_k,DQT,0.6,2,16,0.0
study_upgrade_k,DQT,0.6,2,17,0.0
study_upgrade_k,DQT,0.6,2,18,0.0
study_upgrade_k,DQT,0.6,2,19,0.0
study_upgrade_k,DQT,0.6,2,20,0.0
study_upgrade_k,DQT,0.6,2,21,0.0
study_upgrade_k,DQT,0.6,2,22,0.0
study_upgrade_k,DQT,0.6,2,23,0.0
study_upgrade_k,DQT,0.6,2,24,0.0
study_upgrade_k,DQT,0.6,2,25,0.0
study_upgrade_k,DQT,0.6,2,26,0.0
study_upgrade_k,DQT,0.6,2,27,0.0
study_upgrade_k,DQT,0.6,2,28,0.0
study_upgrade_k,DQT,0.6,2,29,0.0
study_upgrade_k,DQT,0.6,4,0,0.0
study_upgrade_k,DQT,0.6,4,1,0.0
study_upgrade_k,DQT,0.6,4,2,0.0
study_upgrade_k,DQT,0.6,4,3,0.0
study_upgrade_k,DQT,0.6,4,4,0.0
study_upgrade_k,DQT,0.6,4,5,0.0
study_upgrade_k,DQT,0.6,4,6,0.0
study_upgrade_k,DQT,0.6,4,7,0.0
study_upgrade_k,DQT,0.6,4,8,0.0
study_upgrade_k,DQT,0.6,4,9,0.0
study_upgrade_k,DQT,0.6,4,10,0.0
study_upgrade_k,DQT,0.6,4,11,0.0
study_upgrade_k,DQT,0.6,4,12,0.0
study_upgrade_k,DQT,0.6,4,13,0.0
study_upgrade_k,DQT,0.6,4,14,0.0
study_upgrade_k,DQT,0.6,4,15,0.0
study_upgrade_k,DQT,0.6,4,16,0.0
study_upgrade_k,DQT,0.6,4,17,0.0
study_upgrade_k,DQT,0.6,4,18,0.0
study_upgrade_k,DQT,0.6,4,19,0.0
study_upgrade_k,DQT,0.6,4,20,0.0
study_upgrade_k,DQT,0.6,4,21,0.0
study_upgrade_k,DQT,0.6,4,22,0.0
study_upgrade_k,DQT,0.6,4,23,0.0
study_upgrade_k,DQT,0.6,4,24,0.0
study_upgrade_k,DQT,0.6,4,25,0.0
study_upgrade_k,DQT,0.6,4,26,0.0
study_upgrade_k,DQT,0.6,4,27,0.0
study_upgrade_k,DQT,0.6,4,28,0.0
study_upgrade_k,DQT,0.6,4,29,0.0
study_upgrade_k,DQT,0.6,8,0,0.0
study_upgrade_k,DQT,0.6,8,1,0.0
study_upgrade_k,DQT,0.6,8,2,0.0
study_upgrade_k,DQT,0.6,8,3,0.0
study_upgrade_k,DQT,0.6,8,4,0.0
study_upgrade_k,DQT,0.6,8,5,0.0
study_upgrade_k,DQT,0.6,8,6,0.0
study_upgrade_k,DQT,0.6,8,7,0.0
study_upgrade_k,DQT,0.6,8,8,0.0
study_upgrade_k,DQT,0.6,8,9,0.0
study_upgrade_k,DQT,0.6,8,10,0.0
study_upgrade_k,DQT,0.6,8,11,0.0
study_upgrade_k,DQT,0.6,8,12,0.0
study_upgrade_k,DQT,0.6,8,13,0.0
study_upgrade_k,DQT,0.6,8,14,0.0
study_upgrade_k,DQT,0.6,8,15,0.0
study_upgrade_k,DQT,0.6,8,16,0.0
study_upgrade_k,DQT,0.6,8,17,0.0
study_upgrade_k,DQT,0.6,8,18,0.0
study_upgrade_k,DQT,0.6,8,19,0.0
study_upgrade_k,DQT,0.6,8,20,0.0
study_upgrade_k,DQT,0.6,8,21,0.0
study_upgrade_k,DQT,0.6,8,22,0.0
study_upgrade_k,DQT,0.6,8,23,0.0
study_upgrade_k,DQT,0.6,8,24,0.0
study_upgrade_k,DQT,0.6,8,25,0.0
study_upgrade_k,DQT,0.6,8,26,0.0
study_upgrade_k,DQT,0.6,8,27,0.0
study_upgrade_k,DQT,0.6,8,28,0.0
study_upgrade_k,DQT,0.6,8,29,0.0
study_upgrade_k,DQT,0.8,0,0,0.0
study_upgrade_k,DQT,0.8,0,1,0.0
study_upgrade_k,DQT,0.8,0,2,0.0
study_upgrade_k,DQT,0.8,0,3,0.0
study_upgrade_k,DQT,0.8,0,4,0.0
study_upgrade_k,DQT,0.8,0,5,0.0
study_upgrade_k,DQT,0.8,0,6,0.0
study_upgrade_k,DQT,0.8,0,7,0.0
study_upgrade_k,DQT,0.8,0,8,0.0
study_upgrade_k,DQT,0.8,0,9,0.0
study_upgrade_k,DQT,0.8,0,10,0.0
study_upgrade_k,DQT,0.8,0,11,0.0
study_upgrade_k,DQT,0.8,0,12,0.0
study_upgrade_k,DQT,0.8,0,13,0.0
