eta,distance_km,loss_db_per_km,base_prob,p_eg_raw,p_eg_floor,p_eg_used,is_clamped
1e-05,50.0,0.2,0.09999999999999998,1.0000000000000001e-11,1e-06,1e-06,True
3e-05,50.0,0.2,0.09999999999999998,8.999999999999997e-11,1e-06,1e-06,True
0.0001,50.0,0.2,0.09999999999999998,9.999999999999999e-10,1e-06,1e-06,True
0.0003,50.0,0.2,0.09999999999999998,8.999999999999996e-09,1e-06,1e-06,True
0.001,50.0,0.2,0.09999999999999998,9.999999999999998e-08,1e-06,1e-06,True
0.003,50.0,0.2,0.09999999999999998,8.999999999999997e-07,1e-06,1e-06,True
0.01,50.0,0.2,0.09999999999999998,9.999999999999997e-06,1e-06,9.999999999999997e-06,False
0.03,50.0,0.2,0.09999999999999998,8.999999999999998e-05,1e-06,8.999999999999998e-05,False
0.1,50.0,0.2,0.09999999999999998,0.0009999999999999998,1e-06,0.0009999999999999998,False
0.3,50.0,0.2,0.09999999999999998,0.008999999999999998,1e-06,0.008999999999999998,False
0.5,50.0,0.2,0.09999999999999998,0.024999999999999994,1e-06,0.024999999999999994,False
0.8,50.0,0.2,0.09999999999999998,0.06399999999999999,1e-06,0.06399999999999999,False
