request_id,src,dst,t_start,deadline,success,t_finish
124,A,B,0.062,0.112,0,
125,A,B,0.0625,0.1125,0,
126,A,B,0.063,0.113,0,
127,A,B,0.0635,0.1135,0,
128,A,B,0.064,0.114,0,
129,A,B,0.0645,0.1145,0,
130,A,B,0.065,0.115,0,
131,A,B,0.0655,0.1155,0,
132,A,B,0.066,0.116,0,
133,A,B,0.0665,0.1165,0,
134,A,B,0.067,0.117,0,
135,A,B,0.0675,0.11750000000000001,0,
136,A,B,0.068,0.11800000000000001,0,
137,A,B,0.0685,0.11850000000000001,0,
138,A,B,0.06899999999999999,0.119,0,
139,A,B,0.06949999999999999,0.1195,0,
140,A,B,0.06999999999999999,0.12,0,
141,A,B,0.0705,0.1205,0,
142,A,B,0.071,0.121,0,
143,A,B,0.0715,0.1215,0,
144,A,B,0.072,0.122,0,
145,A,B,0.0725,0.1225,0,
146,A,B,0.073,0.123,0,
147,A,B,0.0735,0.1235,0,
148,A,B,0.074,0.124,0,
149,A,B,0.0745,0.1245,0,
150,A,B,0.07500000000000001,0.125,0,
151,A,B,0.07550000000000001,0.1255,0,
152,A,B,0.07600000000000001,0.126,0,
153,A,B,0.07650000000000001,0.1265,0,
154,A,B,0.07700000000000001,0.127,0,
155,A,B,0.07750000000000001,0.1275,0,
156,A,B,0.07800000000000001,0.128,0,
157,A,B,0.07850000000000001,0.1285,0,
158,A,B,0.07900000000000001,0.129,0,
159,A,B,0.07950000000000002,0.1295,0,
160,A,B,0.08000000000000002,0.13,0,
161,A,B,0.08050000000000002,0.1305,1,0.1304399325140575
162,A,B,0.08100000000000002,0.131,0,
163,A,B,0.0815,0.1315,0,
164,A,B,0.082,0.132,0,
165,A,B,0.0825,0.1325,0,
166,A,B,0.083,0.133,0,
167,A,B,0.0835,0.1335,0,
168,A,B,0.084,0.134,0,
169,A,B,0.0845,0.1345,0,
170,A,B,0.085,0.135,0,
171,A,B,0.0855,0.1355,0,
172,A,B,0.08600000000000001,0.136,0,
173,A,B,0.08650000000000001,0.1365,0,
174,A,B,0.08700000000000001,0.137,0,
175,A,B,0.08750000000000001,0.1375,0,
176,A,B,0.08800000000000001,0.138,0,
177,A,B,0.08850000000000001,0.1385,0,
178,A,B,0.08900000000000001,0.139,0,
179,A,B,0.08950000000000001,0.1395,0,
180,A,B,0.09000000000000001,0.14,0,
181,A,B,0.09050000000000001,0.1405,0,
182,A,B,0.09100000000000001,0.14100000000000001,0,
183,A,B,0.09150000000000001,0.14150000000000001,0,
184,A,B,0.09200000000000001,0.14200000000000002,0,
185,A,B,0.09250000000000001,0.14250000000000002,0,
186,A,B,0.09300000000000001,0.14300000000000002,0,
187,A,B,0.09350000000000001,0.14350000000000002,0,
188,A,B,0.094,0.14400000000000002,0,
189,A,B,0.0945,0.14450000000000002,0,
190,A,B,0.095,0.14500000000000002,0,
191,A,B,0.0955,0.14550000000000002,0,
192,A,B,0.096,0.14600000000000002,0,
193,A,B,0.0965,0.14650000000000002,0,
194,A,B,0.097,0.14700000000000002,0,
195,A,B,0.0975,0.14750000000000002,0,
196,A,B,0.098,0.14800000000000002,0,
197,A,B,0.0985,0.14850000000000002,0,
198,A,B,0.099,0.14900000000000002,0,
199,A,B,0.0995,0.14950000000000002,1,0.14949353949270439
