study,topology,scenario,eta,k,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
study_upgrade_k,nsfnet,BK,0.030000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_upgrade_k,nsfnet,EQT,0.030000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,1,30,6000,0.032500,0.003149,0.031373,0.033627
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,2,30,6000,0.032500,0.003149,0.031373,0.033627
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,4,30,6000,0.032500,0.003149,0.031373,0.033627
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,8,30,6000,0.032500,0.003149,0.031373,0.033627
