study,scenario,eta,arrival_interval_s,requests_per_seed,n_seeds,n_requests_total,mean_success_rate,served_rate,miss_deadline_rate_given_served,mean_slack_for_success
study_load_sweep,BK,0.03,0.00025,400,30,12000,0.010916666666666667,0.010916666666666667,0.0,2.208874764798124
study_load_sweep,BK,0.03,0.0005,200,30,6000,0.021833333333333333,0.021833333333333333,0.0,2.2092843481314572
study_load_sweep,BK,0.03,0.001,100,30,3000,0.043666666666666666,0.043666666666666666,0.0,2.2101076814647906
study_load_sweep,BK,0.03,0.002,50,30,1500,0.08666666666666667,0.08666666666666667,0.0,2.22677618568536
study_load_sweep,EQT,0.03,0.00025,400,30,12000,0.01625,0.01625,0.0,2.3335345121323496
study_load_sweep,EQT,0.03,0.0005,200,30,6000,0.0325,0.0325,0.0,2.334208916894254
study_load_sweep,EQT,0.03,0.001,100,30,3000,0.06466666666666666,0.06466666666666666,0.0,2.3472961937613226
study_load_sweep,EQT,0.03,0.002,50,30,1500,0.12933333333333333,0.12933333333333333,0.0,2.350005717570846
